-3.28274,-0.855743,1.13477,-2.47455,0,-3.93144,-0.109874,1.28602,0.00767636,0
-2.72126,-1.62575,0.831728,-2.33773,0,-3.28274,-0.855743,1.13477,-2.47455,0
-1.9002,-2.16454,1.0203,-0.653467,0,-2.72126,-1.62575,0.831728,-2.33773,0
-1.05381,-2.69708,1.02381,0.843718,0,-1.9002,-2.16454,1.0203,-0.653467,0
-0.633981,-3.59527,1.15422,-2.48508,0,-1.05381,-2.69708,1.02381,0.843718,0
-0.88608,-4.53864,0.938593,-1.51767,0.0223046,-0.633981,-3.59527,1.15422,-2.48508,0
-3.47575,-2.25901,1.00415,-0.726449,0,-2.72126,-1.62575,0.831728,-2.33773,0
-3.98315,-3.1166,1.08828,-1.43264,0,-3.47575,-2.25901,1.00415,-0.726449,0
-4.25275,0.825229,1.43549,0.599503,0,-3.93144,-0.109874,1.28602,0.00767636,0
-4.44814,-2.71014,1.87478,-1.05277,0,-3.98315,-3.1166,1.08828,-1.43264,0
-3.4346,1.39991,1.45504,1.13773,0,-4.25275,0.825229,1.43549,0.599503,0
-2.43542,1.36036,1.46293,-1.70461,0,-3.4346,1.39991,1.45504,1.13773,0
-1.4466,1.45637,1.34884,0.929439,0,-2.43542,1.36036,1.46293,-1.70461,0
-1.45825,-3.7538,1.69778,-2.60508,0,-0.633981,-3.59527,1.15422,-2.48508,0
-4.46299,-3.98567,0.967986,2.47138,0,-3.98315,-3.1166,1.08828,-1.43264,0
