-0.633132,-0.499706,0.802911,3.13952
-0.631251,-0.491687,0.807838,3.06103
-0.62937,-0.483668,0.812765,2.98255
-0.627489,-0.475649,0.817692,2.90406
-0.625608,-0.46763,0.82262,2.82557
-0.623727,-0.459611,0.827547,2.74708
-0.621846,-0.451593,0.832474,2.66859
-0.619965,-0.443574,0.837401,2.59011
-0.618084,-0.435555,0.842329,2.51162
-0.616204,-0.427536,0.847256,2.43313
-0.614323,-0.419517,0.852183,2.35464
-0.612442,-0.411498,0.85711,2.27615
-0.610561,-0.403479,0.862038,2.19767
-0.60868,-0.39546,0.866965,2.11918
-0.606799,-0.387441,0.871892,2.04069
-0.604918,-0.379422,0.876819,1.9622
-0.603037,-0.371403,0.881746,1.88371
-0.601156,-0.363384,0.886674,1.80523
-0.599275,-0.355365,0.891601,1.72674
-0.597394,-0.347346,0.896528,1.64825
-0.595513,-0.339327,0.901455,1.56976
-0.593632,-0.331308,0.906383,1.49127
-0.591751,-0.323289,0.91131,1.41279
-0.58987,-0.31527,0.916237,1.3343
-0.58799,-0.307251,0.921164,1.25581
-0.586109,-0.299232,0.926092,1.17732
-0.584228,-0.291213,0.931019,1.09883
-0.582347,-0.283194,0.935946,1.02034
-0.580466,-0.275175,0.940873,0.941857
-0.578585,-0.267156,0.9458,0.863369
-0.576704,-0.259137,0.950728,0.784881
-0.574823,-0.251118,0.955655,0.706393
-0.572942,-0.243099,0.960582,0.627905
-0.571061,-0.23508,0.965509,0.549417
-0.56918,-0.227061,0.970437,0.470928
-0.567299,-0.219042,0.975364,0.39244
-0.565418,-0.211023,0.980291,0.313952
-0.563537,-0.203004,0.985218,0.235464
-0.561657,-0.194985,0.990146,0.156976
-0.559776,-0.186966,0.995073,0.0784881
-0.457872,-0.0909827,1.04145,0.821709
-0.453537,-0.105048,1.02791,0.780499
-0.449202,-0.119112,1.01437,0.739289
-0.444867,-0.133177,1.00082,0.698079
-0.440531,-0.147242,0.987282,0.656869
-0.436196,-0.161307,0.97374,0.615659
-0.431861,-0.175372,0.960198,0.574449
-0.427525,-0.189436,0.946656,0.533238
-0.42319,-0.203501,0.933114,0.492028
-0.418855,-0.217566,0.919572,0.450818
-0.414519,-0.231631,0.90603,0.409608
-0.410184,-0.245696,0.892488,0.368398
-0.405849,-0.259761,0.878946,0.327188
-0.401514,-0.273825,0.865404,0.285978
-0.397178,-0.28789,0.851862,0.244768
-0.392843,-0.301955,0.83832,0.203558
-0.388508,-0.31602,0.824778,0.162348
-0.384172,-0.330085,0.811236,0.121138
-0.379837,-0.344149,0.797694,0.0799281
-0.375502,-0.358214,0.784152,0.038718
-0.286547,-0.209537,0.939275,0.358885
-0.282204,-0.219094,0.922251,0.340878
-0.277862,-0.228651,0.905227,0.32287
-0.273519,-0.238208,0.888204,0.304862
